"","opponent","event_day_of_week","days_before_event","section_name","channel","price_level","primary_tickets_sold","primary_average_ticket_price","churn"
"40217",30,"Saturday",0,33,"Back Office","D - 100L",13,"$48.70",0
"40218",31,"Saturday",19,52,"Back Office","Q - 300L",10,"$65.49",1
"40219",1,"Saturday",74,79,"Web","O - 300L",3,"$85.03",0
"40220",15,"Saturday",2,47,"Back Office","P - 300L",3,"$37.45",0
"40221",20,"Thursday",2,50,"Web","R - 300L",1,"$27.66",1
"40222",20,"Tuesday",0,29,"Web","F -100L",2,"$77.48",0
"40223",10,"Wednesday",15,64,"Back Office","O - 300L",5,"$47.88",0
"40224",4,"Thursday",182,63,"Web","O - 300L",4,"$40.50",0
"40225",24,"Monday",11,21,"Back Office","I - 100L",2,"$36.86",1
"40226",27,"Saturday",24,67,"Back Office","R - 300L",5,"$41.63",0
"40227",15,"Saturday",161,31,"Web","H - 100L",4,"$134.64",0
"40228",10,"Wednesday",15,17,"Back Office","D - 100L",2,"$156.58",0
"40229",31,"Tuesday",4,71,"Web","R - 300L",3,"$43.09",0
"40230",28,"Saturday",65,16,"Web","C - 100L",2,"$253.80",0
"40231",20,"Tuesday",1,52,"Web","R - 300L",1,"$18.06",1
"40232",31,"Saturday",7,47,"Web","P - 300L",2,"$82.16",0
"40233",31,"Saturday",6,32,"Web","F -100L",1,"$67.94",0
"40234",2,"Wednesday",2,26,"Web","C - 100L",2,"$131.76",1
"40235",7,"Monday",70,22,"Back Office","G - 100L",1,"$137.20",0
"40236",24,"Saturday",2,44,"Back Office","L2 - 200L",2,"$71.72",1
"40237",27,"Wednesday",0,41,"Back Office","K - 200L",2,"$35.94",0
"40238",20,"Tuesday",70,34,"Web","D - 100L",2,"$160.74",0
"40239",9,"Friday",9,23,"Back Office","G - 100L",2,"$188.10",0
"40240",29,"Monday",0,29,"Web","D - 100L",3,"$146.64",0
"40241",21,"Sunday",49,63,"Web","P - 300L",2,"$53.00",0
"40242",11,"Saturday",0,69,"Web","R - 300L",2,"$36.71",1
"40243",16,"Saturday",31,66,"Back Office","O - 300L",1,"$71.28",1
"40244",2,"Wednesday",0,51,"Web","R - 300L",1,"$39.53",0
"40245",31,"Saturday",1,69,"Web","R - 300L",4,"$80.30",0
"40246",14,"Saturday",196,17,"Web","D - 100L",2,"$189.28",0
"40247",22,"Wednesday",0,65,"Back Office","P - 300L",20,"$18.65",0
"40248",27,"Thursday",0,31,"Web","H - 100L",2,"$52.73",0
"40249",24,"Thursday",0,69,"Web","Q - 300L",1,"$25.76",1
"40250",9,"Thursday",8,30,"Web","F -100L",3,"$86.26",0
"40251",13,"Tuesday",19,22,"Back Office","I - 100L",4,"$90.09",1
"40252",26,"Sunday",2,70,"Back Office","R - 300L",2,"$23.03",1
"40253",6,"Wednesday",0,52,"Box Office","R - 300L",3,"$25.86",1
"40254",7,"Monday",47,55,"Back Office","R - 300L",4,"$31.61",1
